Activity,MP,LIME,GRADCAM
ANSWERING_PHONE,I predicted ANSWERING PHONE mainly because Anna received an incoming phone call on her phone,I predicted ANSWERING PHONE mainly because Anna received an incoming phone call on her phone,I predicted Answering Phone mainly because Bob has been in the Living Room and then in the Medicine Area.
ANSWERING_PHONE,I predicted ANSWERING PHONE mainly because Anna received an incoming phone call on her phone while she was in the office,I predicted ANSWERING PHONE mainly because Anna received an incoming phone call on her phone,I predicted ANSWERING PHONE mainly because Anna was in the office
CLEARING_TABLE,I predicted CLEARING THE TABLE mainly because Barbara has repeatedly performed hand gestures while she was in the kitchen,I predicted CLEARING THE TABLE mainly because the Fridge was open while Barbara was in the Dining Room,"I predicted Clearing the Table mainly because Barbara has been in the Dining Room and then in the Kitchen. Moreover, I also noted that she was just entered at home"
CLEARING_TABLE,I predicted CLEARING THE TABLE mainly because Barbara has repeatedly performed hand gestures while she was in the dining room,"I predicted CLEARING THE TABLE mainly because Barbara has been in the Dining Room and then in the Kitchen.  Moreover, she also has repeatedly performed hand gestures while she was in the dining room","I predicted Clearing the Table mainly because Barbara has been in the Dining Room and then in the Kitchen. Moreover, I also noted that she was just entered at home"
CLEARING_TABLE,I predicted CLEARING THE TABLE mainly because Barbara was in the dining room and she repeatedly performed hand gestures,I predicted CLEARING THE TABLE mainly because Barbara was sitting on a chair of the dining room,I predicted CLEARING THE TABLE mainly because Barbara was in the dining room while sitting at the table
COOKING,I predicted COOKING mainly because Carlo was in the kitchen and he repeatedly performed hand gestures to turn on the stove,I predicted COOKING mainly because the stove was on,I predicted COOKING mainly because the fridge was open
COOKING,I predicted COOKING mainly because the stove was on while Carlo was in the kitchen,I predicted COOKING mainly because the stove was on,I predicted Cooking mainly because Bob has been in the kitchen
COOKING,I predicted COOKING mainly because Carlo performed hand gestures to interact with the Stove while he was in the Kitchen,I predicted COOKING mainly because the stove was on,I predicted COOKING mainly because Bob has repeatedly performed hand gestures
EATING,I predicted Eating mainly because Davide was sitting on the table chair while he was in the dining room,I predicted EATING mainly because davide was sitting on the table chair in the dining room,I predicted EATING mainly because Davide was in the dining room and he was sitting on the table chair
EATING,I predicted Eating mainly because Davide was sitting on the table chair while he was in the dining room,I predicted EATING mainly because Davide has just set up the table.,I predicted EATING mainly because Davide was in the dining room and he was sitting on the table chair
EATING,I predicted Eating mainly because Davide was sitting on the table chair while he was in the dining room,I predicted EATING mainly because Davide has just cooked,I predicted EATING mainly because Bob was in the dining room and he was sitting on the table chair
ENTERING_HOME,I predicted ENTERING HOME mainly because Elena has repeatedly performed hand gestures (probably to take off her coat) while she was in the hall,I predicted ENTERING HOME mainly because Elena has been out of the smart-home until a short time ago,I predicted ENTERING HOME mainly because Elena has been out of the smart-home until a short time ago
ENTERING_HOME,I predicted ENTERING HOME mainly because Elena has repeatedly performed hand gestures (probably to take off her coat) while she was in the hall,I predicted ENTERING HOME mainly because Elena previously left home,"I predicted ENTERING HOME mainly because Elena was in the hall before going in the medicine area. Moreover, not long ago, Elena left the home"
ENTERING_HOME,I predicted ENTERING HOME mainly because Elena has repeatedly performed hand gestures (probably to take off her coat) while she was in the hall,I predicted ENTERING HOME mainly because Elena was in the hall,I predicted ENTERING HOME mainly because Elena has been in the hall before being in the medicine area
LEAVING_HOME,I predicted LEAVING HOME mainly because Fabio was in the hall while  repeatedly performed hand gestures (probably to put on his coat) ,I predicted LEAVING HOME mainly because I did not detect Fabio's presence in the home,I predicted LEAVING HOME mainly because no longer detected Fabio's presence in the home after he was in the hall
